
> app@1.0.0 start /app
> node server.js

Temple server running on port 3000
Cultist connected: XaCKDHT1dp_5z4KQAAAB
Cultist disconnected: XaCKDHT1dp_5z4KQAAAB
Cultist connected: 2k-BCCiI-Ju24INNAAAD
Cultist disconnected: 2k-BCCiI-Ju24INNAAAD
Cultist connected: GjxR4oDBHJ2rGCV4AAAF
Cultist disconnected: GjxR4oDBHJ2rGCV4AAAF
Cultist connected: 8u3w42BOalAbTL4jAAAH
Cultist disconnected: 8u3w42BOalAbTL4jAAAH
Cultist connected: QKWcHCTKCn7w4mDNAAAJ
Cultist disconnected: QKWcHCTKCn7w4mDNAAAJ
Cultist connected: gWo37qWnCCEDiy6NAAAL
Cultist disconnected: gWo37qWnCCEDiy6NAAAL
